Time: 1.0 [(0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]
Time: 2.0 [(761.0, 180.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]
Time: 3.0 [(733.0, 180.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]
Time: 4.0 [(705.0, 180.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]
Time: 5.0 [(677.0, 180.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]
Time: 6.0 [(649.0, 180.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]
Time: 7.0 [(621.0, 180.0), (761.0, 180.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]
Time: 8.0 [(593.0, 180.0), (738.0, 180.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]
Time: 9.0 [(565.0, 180.0), (715.0, 180.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]
Time: 10.0 [(537.0, 180.0), (692.0, 180.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]
Time: 11.0 [(509.0, 180.0), (669.0, 180.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]
Time: 12.0 [(481.0, 180.0), (646.0, 180.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]
Time: 13.0 [(453.0, 180.0), (623.0, 180.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]
Time: 14.0 [(425.0, 180.0), (600.0, 180.0), (761.0, 180.0), (0.0, 0.0), (0.0, 0.0)]
Time: 15.0 [(397.0, 180.0), (577.0, 180.0), (733.0, 180.0), (0.0, 0.0), (0.0, 0.0)]
Time: 16.0 [(369.0, 180.0), (554.0, 180.0), (705.0, 180.0), (0.0, 0.0), (0.0, 0.0)]
Time: 17.0 [(341.0, 180.0), (531.0, 180.0), (677.0, 180.0), (0.0, 0.0), (0.0, 0.0)]
Time: 18.0 [(313.0, 180.0), (508.0, 180.0), (649.0, 180.0), (0.0, 0.0), (0.0, 0.0)]
Time: 19.0 [(285.0, 180.0), (485.0, 180.0), (621.0, 180.0), (0.0, 0.0), (0.0, 0.0)]
Time: 20.0 [(257.0, 180.0), (462.0, 180.0), (593.0, 180.0), (761.0, 182.0), (0.0, 0.0)]
Time: 21.0 [(229.0, 180.0), (439.0, 180.0), (565.0, 180.0), (735.0, 182.0), (0.0, 0.0)]
Time: 22.0 [(201.0, 180.0), (416.0, 180.0), (537.0, 180.0), (709.0, 182.0), (0.0, 0.0)]
Time: 23.0 [(173.0, 180.0), (393.0, 180.0), (509.0, 180.0), (683.0, 182.0), (0.0, 0.0)]
Time: 24.0 [(145.0, 180.0), (370.0, 180.0), (481.0, 180.0), (657.0, 182.0), (0.0, 0.0)]
Time: 25.0 [(117.0, 180.0), (347.0, 180.0), (453.0, 180.0), (631.0, 182.0), (0.0, 0.0)]
Time: 26.0 [(0.0, 0.0), (324.0, 180.0), (425.0, 180.0), (605.0, 182.0), (761.0, 180.0)]
